,dT,Res ra,Res dec,Res az,Res alt,Base Ra,Base Dec,Base Az,Base Alt,Snakes,UTC
351,329,-0.6427514285292091,-1.1212332686369564,4217.3524268739475,2987.7276340795843,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:50:15
352,351,17613.75824280644,2598.968197234069,-14250.076254884732,-6624.105985925661,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:50:37
353,359,17613.446554776714,2598.9269236170458,-14166.612584719496,-6537.137099122316,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:50:45
354,368,17613.76261677175,2598.7296500737784,-14082.758852847575,-6450.419968653765,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:50:54
355,389,3.019687473306476,0.35725187856314733,5021.523641618331,3523.70510784819,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:51:15
356,398,2.6017345621653476,-0.14173364794771715,5144.2376083884255,3603.1454785784035,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:51:24
357,407,2.3467357768140573,0.05987933234052889,5265.401765272771,3682.654010712281,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:51:33
358,0,0.0,0.0,0.0,0.0,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:52:07
359,9,-0.10480679338797927,0.12513312623525508,49.8512332997052,82.12843570576354,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:52:16
360,18,1.1270841653640673,-2.512222625946947,103.49621468598116,161.87652091653604,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:52:25
361,38,-7052.805523924826,11740.24777824933,-17198.481871920514,8521.986271273412,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:52:45
362,47,-7052.45758748697,11740.296215867944,-17149.165161230507,8609.712026158973,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:52:54
363,56,-7052.554233045316,11740.68584639393,-17100.173334653868,8697.763493620065,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:53:03
364,77,2.082866427940644,-1.3502006419031432,439.16077300384586,708.4156556470106,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:53:24
365,86,-0.3002328366846996,-0.037545102335911906,488.6321967837034,791.4980253593768,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:53:33
366,95,-0.4589748562011664,-0.057665133033424354,539.4959341737831,872.6234945716669,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:53:42
367,116,18754.161042434273,3420.069525311189,-10846.245467891595,-9682.624490959128,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:54:03
368,126,18753.68678907689,3419.1461595350547,-10806.708275544679,-9584.097289029301,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:54:13
369,135,18754.230302844644,3420.093000547715,-10775.098772737272,-9498.261633639126,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:54:22
370,155,0.011912394347746158,-0.04735296064382055,885.5203034384658,1419.0845348269222,261.05727569648997,-49.7196622916481,135.05875552431746,55.0615298479235,10,2023-03-17 07:54:42
