,RA,DEC,MJD,EXPTIME,TEMP_SET,CCDTEMP,FILTER,ELSTART,ELEND,AZSTART,AZEND,RA_WCS,DEC_WCS
37,307.078084166667,-87.472205,58901.3736171716,20.0,-104.150001525879,-100.802726745605,RG610,30.1234651192208,30.1278608127614,176.889821220597,176.889355857333,306.82727951002994,-87.46585521563962
38,307.078084166667,-87.472205,58901.3753664761,1.0,-104.150001525879,-100.877777099609,RG610,30.1559001787682,30.1566619261284,176.886556972226,176.886491258105,306.82524787906334,-87.46587391977606
39,243.905292916667,-8.36943916666667,58901.3844852206,5.0,-104.150001525879,-100.896362304688,RG610,58.14703202089,58.1697919054859,51.9861342799995,51.9407289517258,243.89505894715703,-8.373980794875855
40,307.078084166667,-87.472205,58901.3899870918,20.0,-104.150001525879,-100.925064086914,RG610,30.3881732209702,30.3925608678837,176.882407147845,176.882450957259,306.8814786936538,-87.4651570331
41,243.905292916667,-8.36943916666667,58901.395858956,3.0,-104.150001525879,-100.936210632324,RG610,60.8395161314838,60.8550984247559,45.9792950046394,45.9396939766739,243.89620834064297,-8.37527557038572
42,243.905292916667,-8.36943916666667,58901.3961881758,20.0,-104.150001525879,-100.868309020996,RG610,60.868091045224,60.9276933058136,45.9066397738789,45.754894692931,243.89623964764542,-8.375242141322646
43,307.078084166667,-87.472205,58901.4016385592,3.0,-104.150001525879,-100.903419494629,RG610,30.5807477816124,30.5818944259663,176.895030964573,176.895125735959,306.8953063799762,-87.46472624508877
44,307.078084166667,-87.472205,58901.4019681141,20.0,-104.150001525879,-100.908432006836,RG610,30.5828421398182,30.5872177167912,176.895214248856,176.895639378985,306.8957729061053,-87.46472814432856
45,243.905292916667,-8.36943916666667,58901.4120517039,20.0,-104.150001525879,-100.940757751465,RG610,64.1254751964443,64.17411526879,35.862733949456,35.6759207737923,243.89530042896374,-8.376398771493696
46,166.964328333333,-16.0290455555556,58923.0233657429,1.0,-104.150001525879,-100.761108398438,empty_1,36.6611350162857,36.6755916758411,88.0781484437175,88.0693485629745,166.96378816018904,-16.028510733334368
47,166.964328333333,-16.0290455555556,58923.0313581608,2.0,-104.150001525879,-100.745040893555,empty_1,39.1564897283097,39.1745168550988,86.5311513138004,86.519776512403,166.95412244363325,-16.026993140829507
48,166.964328333333,-16.0290455555556,58923.0450974499,2.0,-104.150001525879,-100.820747375488,empty_1,43.4288749679108,43.4467554672738,83.7182641816471,83.705886681113,166.95426394423578,-16.026433107853396
49,166.964328333333,-16.0290455555556,58923.0477196179,1.0,-104.150001525879,-100.85279083252,empty_1,44.2391841693752,44.2570758446236,83.1623929035995,83.149243373904,166.96272126563142,-16.030417784472785
50,166.964328333333,-16.0290455555556,58923.0802263566,5.0,-104.150001525879,-100.822883605957,empty_1,54.184259532296,54.2122237964504,75.0451871049736,75.018069971833,166.96288897210516,-16.028164518588692
51,166.964328333333,-16.0290455555556,58923.0803600913,5.0,-104.150001525879,-100.801055908203,empty_1,54.2226437314384,54.2505346818798,75.0078740012978,74.9806451094482,166.96290229644472,-16.028055099314543
52,166.964328333333,-16.0290455555556,58923.080903782,5.0,-104.150001525879,-100.792602539062,empty_1,54.3865235730045,54.4143465741508,74.8480666470859,74.8206844222732,166.96285864502366,-16.027926946284683
53,166.964328333333,-16.0290455555556,58923.0815263474,2.0,-104.150001525879,-100.817863464355,empty_1,54.5850061460369,54.6024378224247,74.652792890105,74.6355570149753,166.96272299959716,-16.027757718298954
54,183.003157083333,-64.5104033333333,58923.0866861699,1.0,-104.150001525879,-100.821395874023,empty_1,43.999079970934,44.0057582243317,152.836754251693,152.840708274802,182.9993595492753,-64.51080420218169
55,183.003157083333,-64.5104033333333,58923.0870532414,1.0,-104.150001525879,-100.811645507812,empty_1,44.0517603441258,44.0582879467838,152.867414135893,152.871504951676,182.99972114535478,-64.5100844234114
