,DATE,MJD,EXPTIME,RA,DEC,AIRMASS,ROT_ANGLE,AZ,EL,RA_MD,DEC_MD,EXPTIME_MD,TEMP_SET_MD,CCDTEMP_MD,FILTER_MD,ELSTART_MD,ELEND_MD,AZSTART_MD,AZEND_MD,RA_WCS,DEC_WCS,dRA,dDEC,PNT_OFFSET
2020021900321,2020-02-20 06:31:46.672002,58899.272067962986,50.0,200.976031666667,-46.2001397222222,1.1031171008405607,-130.90311,136.621939320539,65.0290671571129,200.976031666667,-46.2001397222222,50.0,-104.150001525879,-100.886138916016,RG610,65.0290671571129,65.1599732621544,136.621939320539,136.809596498002,201.0240574624933,-46.16773114610189,-2.8815477495798545,-1.9445145672189443,2.7859051829262067
2020021900322,2020-02-20 06:32:45.061498,58899.27274376733,50.0,200.976031666667,-46.2001397222222,1.1018374763722762,-131.160544,136.827428270568,65.172338245713,200.976031666667,-46.2001397222222,50.0,-104.150001525879,-100.869232177734,RG610,65.172338245713,65.3025729044311,136.827428270568,137.018055100416,201.02419302369594,-46.16777413575029,-2.889681421739728,-1.9419351883149674,2.7881429076599336
2020021900323,2020-02-20 06:33:43.437999,58899.273419421275,50.0,200.976031666667,-46.2001397222222,1.1005522599916493,-131.482782,137.039843578314,65.3173572405212,200.976031666667,-46.2001397222222,50.0,-104.150001525879,-100.882423400879,RG610,65.3173572405212,65.4472163899773,137.039843578314,137.233550031175,201.02417247102284,-46.16776578172257,-2.8884482613532967,-1.9424364299785208,2.787879661382619
2020021900324,2020-02-20 06:34:41.825000,58899.27409519676,50.0,200.976031666667,-46.2001397222222,1.0993030967830721,-131.771603,137.251975018953,65.459405241796,200.976031666667,-46.2001397222222,50.0,-104.150001525879,-100.820373535156,RG610,65.459405241796,65.5887646063202,137.251975018953,137.448674370025,201.02423176962233,-46.16775834558021,-2.8920061773224033,-1.9428825985201414,2.7899579529935647
2020021900326,2020-02-20 06:36:38.591499,58899.275446660875,50.0,200.976031666667,-46.2001397222222,1.0968270746134545,-132.331389,137.690035630454,65.7442397459381,200.976031666667,-46.2001397222222,50.0,-104.150001525879,-100.893104553223,RG610,65.7442397459381,65.8724408431881,137.690035630454,137.892966647123,201.024420733048,-46.16782114680447,-2.9033439828623715,-1.9391145250646578,2.7929785221278514
2020021900327,2020-02-20 06:37:36.979500,58899.27612244792,50.0,200.976031666667,-46.2001397222222,1.0956218920292105,-132.625142,137.912214179014,65.8844942434662,200.976031666667,-46.2001397222222,50.0,-104.150001525879,-100.89737701416,RG610,65.8844942434662,66.0122433884972,137.912214179014,138.118402291511,201.02449290378868,-46.16776798243826,-2.907674227304611,-1.942304387037381,2.7973515803243085
2020021900330,2020-02-20 06:40:32.181999,58899.27815025461,50.0,200.976031666667,-46.2001397222222,1.0920705783515205,-133.463204,138.604429740881,66.3041540070262,200.976031666667,-46.2001397222222,50.0,-104.150001525879,-100.83226776123,RG610,66.3041540070262,66.4299733026855,138.604429740881,138.820424456571,201.02476251750102,-46.16785521251914,-2.923851050043822,-1.9370705821841467,2.8018002168890295
2020022000116,2020-02-21 00:34:57.230500,58900.024273501156,1.0,101.053293333333,-54.6955141666667,1.113721003733532,-129.214683,162.732609291037,63.88221090871961,101.053293333333,-54.6955141666667,1.0,-104.150001525879,-100.727294921875,empty_1,63.8822109087196,63.8859686835494,162.732609291037,162.752849687313,101.0585074794573,-54.695778553500276,-0.3128487674583746,0.015863210015767768,0.18149601748279204
2020022000273,2020-02-21 03:24:57.602498,58900.142333362244,5.0,307.078084166667,-87.472205,2.1483843705009638,-270.994157,179.819353599509,27.7403885706444,307.078084166667,-87.472205,5.0,-104.150001525879,-100.766960144043,empty_1,27.7403885706444,27.7404167338391,179.819353599509,179.817641009053,306.9734020527231,-87.48224784786052,6.280926836639427,0.602570871631466,0.6629659370082371
2020022000464,2020-02-21 08:14:23.799998,58900.34333101849,1.0,243.905292916667,-8.36943916666667,1.3866429024013784,-216.643495,68.7810502243519,46.1508486255043,243.905292916667,-8.36943916666667,1.0,-104.150001525879,-100.85725402832,empty_1,46.1508486255043,46.1643088444252,68.7810502243519,68.76719795588,243.90373467136394,-8.37469708875938,0.09349471818030877,0.3154753255624752,0.32875618977418036
2020022000468,2020-02-21 08:20:05.812998,58900.347289502286,5.0,189.9976325,-11.6230541666667,1.084526460944386,57.184382,320.8447917585727,67.2293314917915,189.9976325,-11.6230541666667,5.0,-104.150001525879,-100.89087677002,empty_1,67.2293314917915,67.2111563964718,-39.1552082414273,-39.2252729053143,189.99503170404287,-11.615693694345959,0.15604775742396648,-0.44162833924406675,0.46733144830424694
2020022000469,2020-02-21 08:23:09.280001,58900.34941296298,5.0,189.9976325,-11.6230541666667,1.087947101463709,227.005132,319.2609088902682,66.8039268835273,189.9976325,-11.6230541666667,5.0,-104.150001525879,-100.857437133789,empty_1,66.8039268835273,66.7875215991371,-40.7390911097318,-40.7981090957765,189.99017831513927,-11.623178081457516,0.4472510916399407,0.00743488744933951,0.4381428668345736
2020022000473,2020-02-21 08:35:28.062498,58900.35796368632,10.0,144.69658625,-60.0918727777778,1.5915294387688046,-5.658463,214.829458971275,38.9267567380302,144.69658625,-60.0918727777778,10.0,-104.150001525879,-100.849266052246,empty_1,38.9267567380302,38.8998604400986,214.829458971275,214.833096493719,144.70764750719292,-60.08353383267799,-0.663675431575787,-0.5003367059883586,0.5998914133317382
2020022000480,2020-02-21 08:51:10.827999,58900.36887532407,1.0,307.078084166667,-87.472205,2.0000636311074507,-183.999512,176.942900348862,29.998947589017902,307.078084166667,-87.472205,1.0,-104.150001525879,-100.876388549805,empty_1,29.9989475890179,29.9996941371937,176.942900348862,176.942795742711,306.9364700712664,-87.48402819931002,8.496845724040398,0.7093919586015385,0.8018817898214045
2020022100533,2020-02-22 05:10:49.355998,58901.21584902776,1.0,307.078084166667,-87.472205,2.126080697879943,-57.642137000000005,178.4895961773,28.0569553955575,307.078084166667,-87.472205,1.0,-104.150001525879,-100.851676940918,empty_1,28.0569553955575,28.0573157056351,178.4895961773,178.488851417264,307.4481273244935,-87.48798004311662,-22.202589469588265,0.9465025869976276,1.3596922051752673
2020022100676,2020-02-22 07:44:32.604501,58901.322599589126,20.0,243.905292916667,-8.36943916666667,1.5303315485040745,-216.843598,73.7564929616783,40.8024648412247,243.905292916667,-8.36943916666667,20.0,-104.150001525879,-100.90128326416,RG610,40.8024648412247,40.8821425422211,73.7564929616783,73.6881458056305,243.89506697621712,-8.372613875569824,0.6135564269889343,0.19048253418913122,0.636204719267761
2020022100710,2020-02-22 08:57:46.255501,58901.37345203126,5.0,307.078084166667,-87.472205,1.9927274329580218,-185.551334,176.890115369519,30.1207998975297,307.078084166667,-87.472205,5.0,-104.150001525879,-100.88892364502,RG610,30.1207998975297,30.1223198159714,176.890115369519,176.889953095873,306.82869514769186,-87.4658119121526,14.9633411385105,-0.38358527084339517,0.7640441486996637
2020022100711,2020-02-22 08:58:07.282001,58901.37369539353,20.0,307.078084166667,-87.472205,1.992567673521346,-185.570697,176.889821220597,30.123465119220796,307.078084166667,-87.472205,20.0,-104.150001525879,-100.802726745605,RG610,30.1234651192208,30.1278608127614,176.889821220597,176.889355857333,306.82727951002994,-87.46585521563962,15.048279398227502,-0.38098706162229146,0.7659898224328953
2020022100713,2020-02-22 09:00:47.952502,58901.37555500581,1.0,307.078084166667,-87.472205,1.9906258381705106,-185.634962,176.886556972226,30.1559001787682,307.078084166667,-87.472205,1.0,-104.150001525879,-100.877777099609,RG610,30.1559001787682,30.1566619261284,176.886556972226,176.886491258105,306.82524787906334,-87.46587391977606,15.170177256223232,-0.3798648134364253,0.7701080070029718
2020022100733,2020-02-22 09:13:53.815500,58901.38465064236,5.0,243.905292916667,-8.36943916666667,1.1772944486990413,-228.652878,51.9861342799995,58.14703202089,243.905292916667,-8.36943916666667,5.0,-104.150001525879,-100.896362304688,RG610,58.14703202089,58.1697919054859,51.9861342799995,51.9407289517258,243.89505894715703,-8.373980794875855,0.614038170596353,0.2724976925509826,0.6658118334034435
