,DATE,MJD,EXPTIME,RA,DEC,AIRMASS,ROT_ANGLE,AZ,EL,RA_MD,DEC_MD,EXPTIME_MD,TEMP_SET_MD,CCDTEMP_MD,FILTER_MD,RA_WCS,DEC_WCS,dRA,dDEC,dAZ,dEL,PNT_OFFSET
2022121200552,2022-12-13 04:40:58.887,59926.19512600695,30.0,89.3012020584803,-52.9199291062554,1.089662381959141,359.999195119699,167.30879269953584,66.57035207589797,89.30091666666668,-52.91992222222222,30.0,-94.15,-90.4626,SDSSi_65mm,89.30169319863101,-52.92029310769224,-0.0294684090445539,0.0218400862109417,0.0255336863915559,0.0262600405167232,0.0281543484618119
2022121200734,2022-12-13 06:40:30.778004,59926.27813400467,30.0,90.0813525652208,-52.91993184343868,1.124614150242646,0.0102467162617845,207.85083882951585,62.747806368672165,90.08116666666668,-52.91992222222222,30.0,-94.15,-90.4664,SDSSi_65mm,90.08064882451968,-52.91816800620216,0.0422244420670128,-0.1058302341910023,-0.1956993005566198,-0.061122056665429,0.1088494151679027
2022121200557,2022-12-13 04:44:05.500998,59926.197285891176,30.0,89.3011442684371,-52.91990523078699,1.0885058205978952,359.999306604006,168.43369417305803,66.71120068272285,89.30091666666668,-52.91992222222222,30.0,-94.15,-90.4195,SDSSr_65mm,89.30164596755272,-52.92019016966585,-0.0301019469395893,0.0170963327332363,0.0318924405165924,0.0215092984414567,0.0249335694221989
2022121200582,2022-12-13 05:00:26.785498,59926.20864335068,30.0,89.30251778460389,-52.82591318834528,1.0835745588888404,359.9994780212276,174.5680340420804,67.32712796171836,89.30225000000003,-52.825897222222224,30.0,-94.15,-90.4497,SDSSr_65mm,89.3025434171621,-52.82588432197485,-0.0015379534921738,-0.0017319822255884,0.0029657415586837,-0.0015979889660279,0.0019655393927149
2022121200732,2022-12-13 06:39:13.798006,59926.27724303248,30.0,90.08138043049584,-52.91994849125399,1.1233132650264088,0.0015042754326186,207.53529347920264,62.87707051476173,90.08116666666668,-52.91992222222222,30.0,-94.15,-90.4712,SDSSg_65mm,90.08040735842296,-52.918246999473375,0.0583843243709996,-0.1020895068362831,-0.2057281905615757,-0.0526780180001083,0.1079883052808955
2022121200729,2022-12-13 06:37:24.182507,59926.27597433457,30.0,90.08147184347342,-52.91995725835917,1.1215004780429845,0.0014243830412047,207.0774734809529,63.05938830813102,90.08116666666668,-52.91992222222222,30.0,-94.15,-90.4684,SDSSr_65mm,90.08050687845348,-52.91825152363555,0.0578979011956669,-0.1023440834175528,-0.2053266470953294,-0.0543209060128369,0.1081339681617993
2022121200641,2022-12-13 05:40:19.093498,59926.23633210067,30.0,90.08068906498455,-52.73186942166246,1.0848480166035597,0.0003922007071708,188.96487720753063,67.1679227634304,90.08045833333335,-52.73187222222223,30.0,-94.15,-90.4476,SDSSg_65mm,90.07858066532,-52.7312986644471,0.1265039798743255,-0.0342454329212409,-0.2116810202485232,-0.0157944155641591,0.0839106254226306
2022121200504,2022-12-13 04:09:50.037997,59926.173495810144,30.0,89.61194125192814,-53.10797462549386,1.110138121980106,359.9986717551948,156.99682824726915,64.2340420766559,89.61166666666668,-53.107975,30.0,-94.15,-90.4023,SDSSi_65mm,89.61368708368462,-53.10875742839288,-0.1047499053886224,0.0469681739404825,0.0597892366292497,0.074070131131987,0.0784864403659838
2022121200561,2022-12-13 04:46:41.987999,59926.19909708333,30.0,89.45721084058809,-52.91991586019191,1.087830472842871,359.999380687757,169.16601546521997,66.79459771355323,89.45695833333336,-52.91992222222222,30.0,-94.15,-90.4328,SDSSg_65mm,89.45757945848213,-52.92022606300345,-0.0221170736443423,0.0186121686920469,0.0202137425055296,0.0214653983069849,0.022896188643554
2022121200579,2022-12-13 04:58:22.782993,59926.20720813649,30.0,89.92534219085879,-52.91991409385936,1.08517303715003,359.999486970691,172.8539196443162,67.12538114031486,89.92508333333335,-52.91992222222222,30.0,-94.15,-90.4594,SDSSg_65mm,89.9255449469684,-52.92002534106903,-0.012165366578148,0.0066748325797306,0.0156268538629623,0.0078354570116768,0.0099173393727113
2022121200630,2022-12-13 05:33:03.735002,59926.23129322919,30.0,89.61523571549753,-52.63784219422756,1.0828293907734876,0.0004335463440878,186.93699263480084,67.42310455282859,89.61504166666668,-52.63784722222222,30.0,-94.15,-90.4726,SDSSg_65mm,89.61318551944758,-52.637433526188914,0.1230117629948298,-0.0245200823187434,-0.2021145409221258,-0.0107838023428214,0.0785740491114471
2022121200762,2022-12-13 07:01:46.325508,59926.292897285966,30.0,90.39247025840328,-52.82589683075438,1.1471821005845897,0.0017934495464592,212.4063736989483,60.6314956231945,90.39220833333334,-52.825897222222224,30.0,-94.15,-90.468,SDSSg_65mm,90.39177706515596,-52.82393717677837,0.0415915948388409,-0.117579238560875,-0.2160431015947929,-0.0557981103467461,0.1202351292679633
2022121200440,2022-12-13 03:27:02.655497,59926.14378073492,30.0,13.630935613937682,-72.61156743060712,1.5305431344700628,0.0068301280256046,197.2808422937524,40.73681509337621,13.630458333333335,-72.61161944444444,30.0,-94.15,-90.4566,SDSSg_65mm,13.628795154588294,-72.60974982322557,0.1284275609628956,-0.1090564428932835,-0.1492219363768644,-0.0231346962931621,0.1156136117813855
2022121200611,2022-12-13 05:20:49.317505,59926.222793026674,30.0,89.30388591222444,-52.73187467270774,1.0819982755450197,4.427229392314335e-05,182.58352913404812,67.52908220728568,89.30362500000001,-52.73187222222223,30.0,-94.15,-90.5024,SDSSg_65mm,89.30217052671432,-52.73162163743452,0.1029231306050502,-0.0151821163919468,-0.1650937884514154,-0.0106999163316352,0.0641473557127264
2022121200539,2022-12-13 04:32:24.454500,59926.189171927086,30.0,89.61250438571196,-53.01394510292354,1.0948076954683197,359.9991620841646,163.95505734201288,65.95429605086974,89.61233333333335,-53.01394722222222,30.0,-94.15,-90.4967,SDSSi_65mm,89.61334551572946,-53.014342048211816,-0.0504678010503151,0.0238167172961198,0.0457141638792209,0.0338008196422345,0.0385889509359404
2022121200678,2022-12-13 06:04:13.485490,59926.25293385984,30.0,90.0823823010191,-53.20204599087104,1.09835131494315,0.0008915351914644,197.0726930394303,65.5468926413887,90.0821666666667,-53.202000000000005,30.0,-94.15,-90.5063,SDSSg_65mm,90.08087985182976,-53.20087175304016,0.090146951358928,-0.0704542698527467,-0.1900437637038291,-0.0404720671035271,0.0887672347889013
2022121200541,2022-12-13 04:33:44.260502,59926.190095607664,30.0,89.76895285007039,-53.01392157925205,1.0944543578794454,359.9989289753232,164.19646911736345,65.99609380801849,89.76870833333335,-53.01394722222222,30.0,-94.15,-90.4698,SDSSi_65mm,89.769851733745,-53.01438314812389,-0.0539330204768704,0.0276941323106823,0.0473652779941022,0.0380638636529553,0.0426588417702363
2022121200700,2022-12-13 06:18:29.900507,59926.26284607069,30.0,90.23883478170704,-53.10798097819922,1.1063334713022095,0.0011564365961059,201.4537689879071,64.65111037928727,90.23854166666668,-53.107975,30.0,-94.15,-90.4698,SDSSi_65mm,90.2375680264028,-53.10672586205653,0.0760053182551049,-0.0753069685608664,-0.1828808018961813,-0.0395617358044478,0.0880510800230689
2022121200647,2022-12-13 05:44:12.776509,59926.23903676515,30.0,90.23543759261716,-52.63786511730719,1.0850699529979209,0.0004341764331908,190.2660351290833,67.13997950991325,90.23516666666669,-52.63784722222222,30.0,-94.15,-90.4642,SDSSg_65mm,90.23339815366673,-52.6372823604188,0.1223663370260615,-0.0349654133037548,-0.2072626839822537,-0.0144339751410138,0.0820787343031664
2022121200559,2022-12-13 04:45:24.951991,59926.19820546286,30.0,89.45717635073672,-52.91991559368754,1.0882636378359736,359.99937220692226,168.6942055117688,66.74134334761766,89.45695833333336,-52.91992222222222,30.0,-94.15,-90.4288,SDSSr_65mm,89.4576929084686,-52.92015831388969,-0.0309934639137526,0.0145632121291314,0.035359187207848,0.0191378486663075,0.0236914720624994
2022121200723,2022-12-13 06:33:30.887992,59926.27327416657,30.0,90.39453113193186,-53.01397379852431,1.1173646134295057,0.0102742753355948,205.62059767986648,63.48002126652864,90.39425000000004,-53.01394722222222,30.0,-94.15,-90.4632,SDSSi_65mm,90.39361355706023,-53.01237135165263,0.0550544922964633,-0.0961468123018302,-0.1915537126272925,-0.0543399138831564,0.101692233027186
2022121200543,2022-12-13 04:35:01.285507,59926.19098710078,30.0,89.76897343034102,-53.01396183989974,1.093822882585867,359.9990392159274,164.6353607666097,66.0706042333477,89.76870833333335,-53.01394722222222,30.0,-94.15,-90.459,SDSSg_65mm,89.76965441035634,-53.014412824773046,-0.0408588009209501,0.0270590923989531,0.0311831461630967,0.034301389480276,0.0365573209336997
